recorded_at,flapjack_ts,event_type,value,region,node_id,tenant_id
2026-04-28 20:46:42.035472+00,2026-04-28 20:46:42.035472+00,storage_bytes,34424997,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:46:14.728871+00,2026-04-28 20:46:14.728871+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:45:14.71954+00,2026-04-28 20:45:14.71954+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:44:14.704831+00,2026-04-28 20:44:14.704831+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:43:14.657481+00,2026-04-28 20:43:14.657481+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:42:14.647812+00,2026-04-28 20:42:14.647812+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:41:42.035651+00,2026-04-28 20:41:42.035651+00,storage_bytes,34424997,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:41:14.637506+00,2026-04-28 20:41:14.637506+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:40:14.624125+00,2026-04-28 20:40:14.624125+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:39:14.615856+00,2026-04-28 20:39:14.615856+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:38:14.607333+00,2026-04-28 20:38:14.607333+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:37:14.598269+00,2026-04-28 20:37:14.598269+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:36:42.035257+00,2026-04-28 20:36:42.035257+00,storage_bytes,34424997,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:36:14.587333+00,2026-04-28 20:36:14.587333+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:35:14.578095+00,2026-04-28 20:35:14.578095+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:34:14.569951+00,2026-04-28 20:34:14.569951+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:33:14.560973+00,2026-04-28 20:33:14.560973+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:32:14.552242+00,2026-04-28 20:32:14.552242+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:31:42.034609+00,2026-04-28 20:31:42.034609+00,storage_bytes,34424997,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:31:14.542776+00,2026-04-28 20:31:14.542776+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:30:14.533228+00,2026-04-28 20:30:14.533228+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:29:14.523158+00,2026-04-28 20:29:14.523158+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:28:14.514811+00,2026-04-28 20:28:14.514811+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:27:14.505929+00,2026-04-28 20:27:14.505929+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:26:42.034738+00,2026-04-28 20:26:42.034738+00,storage_bytes,34424997,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
2026-04-28 20:26:14.497893+00,2026-04-28 20:26:14.497893+00,document_count,20131,us-east-1,REDACTED_FOR_CHECKIN,demo-shared-free
